"","gender","decision","department"
"838","female","denied","e"
"839","male","admitted","e"
"840","male","admitted","a"
"841","male","denied","a"
"842","female","denied","f"
"843","female","denied","d"
"844","male","denied","f"
"845","male","denied","a"
"846","male","admitted","b"
"847","male","denied","d"
"848","female","denied","e"
"849","male","denied","a"
"850","male","admitted","b"
"851","male","admitted","a"
"852","male","admitted","a"
"853","male","denied","f"
"854","female","denied","c"
"855","male","admitted","b"
"856","male","admitted","b"
"857","male","denied","a"
"858","female","denied","a"
"859","female","admitted","d"
"860","male","denied","b"
"861","male","denied","c"
"862","male","admitted","d"
"863","female","denied","e"
"864","female","denied","d"
"865","female","admitted","c"
"866","male","admitted","a"
"867","female","denied","d"
"868","male","admitted","a"
"869","female","denied","e"
"870","female","denied","d"
"871","male","admitted","b"
"872","male","denied","c"
"873","female","admitted","c"
"874","male","admitted","a"
"875","male","denied","c"
"876","male","denied","c"
"877","male","denied","a"
"878","female","denied","f"
"879","female","denied","f"
"880","female","admitted","e"
"881","female","denied","f"
"882","female","denied","c"
"883","male","denied","c"
"884","male","admitted","a"
"885","female","denied","e"
"886","male","denied","f"
"887","male","denied","b"
"888","female","denied","c"
"889","female","denied","c"
"890","female","denied","e"
"891","male","denied","b"
"892","male","denied","f"
"893","female","admitted","c"
"894","male","admitted","a"
"895","female","denied","c"
"896","male","denied","a"
"897","male","denied","f"
"898","male","admitted","a"
"899","male","denied","d"
"900","female","denied","f"
"901","male","admitted","b"
"902","female","denied","c"
"903","female","denied","e"
"904","male","admitted","f"
"905","female","admitted","e"
"906","male","denied","f"
"907","female","admitted","d"
"908","male","denied","d"
"909","male","admitted","a"
"910","male","admitted","a"
"911","female","admitted","d"
"912","male","denied","c"
"913","female","admitted","d"
"914","male","denied","a"
"915","male","denied","b"
"916","male","admitted","d"
"917","female","admitted","a"
"918","male","admitted","b"
"919","male","denied","f"
"920","female","denied","f"
"921","male","denied","e"
"922","female","denied","c"
"923","female","denied","e"
"924","male","denied","e"
"925","male","denied","a"
"926","female","denied","c"
"927","male","admitted","a"
"928","male","admitted","b"
"929","male","admitted","b"
"930","female","denied","c"
"931","male","denied","f"
"932","female","admitted","e"
"933","male","denied","e"
"934","male","admitted","c"
"935","male","denied","c"
"936","female","denied","d"
"937","female","denied","d"
"938","male","admitted","a"
"939","female","denied","c"
"940","female","admitted","c"
"941","female","denied","a"
"942","male","denied","f"
"943","female","admitted","c"
"944","female","denied","c"
"945","male","denied","b"
"946","female","denied","e"
"947","female","denied","f"
"948","male","denied","f"
"949","female","admitted","c"
"950","female","admitted","c"
"951","male","admitted","a"
"952","male","admitted","b"
"953","male","denied","a"
"954","male","denied","d"
"955","male","admitted","a"
"956","male","admitted","d"
"957","male","denied","a"
"958","male","denied","b"
"959","male","admitted","b"
"960","male","admitted","e"
"961","female","admitted","a"
"962","female","denied","f"
"963","male","admitted","b"
"964","female","denied","f"
"965","male","denied","d"
"966","female","denied","c"
"967","male","denied","a"
"968","female","admitted","c"
"969","female","denied","e"
"970","male","admitted","f"
"971","male","denied","c"
"972","male","admitted","b"
"973","male","denied","a"
"974","male","denied","a"
"975","male","denied","a"
"976","male","admitted","a"
"977","male","admitted","b"
"978","female","admitted","d"
"979","female","admitted","a"
"980","male","admitted","a"
"981","male","denied","a"
"982","male","admitted","b"
"983","female","admitted","c"
"984","male","denied","c"
"985","male","admitted","a"
"986","male","admitted","a"
"987","male","admitted","a"
"988","female","denied","d"
"989","female","denied","e"
"990","male","admitted","c"
"991","male","denied","f"
"992","male","admitted","c"
"993","male","denied","e"
"994","male","denied","c"
"995","male","admitted","b"
"996","male","admitted","b"
"997","female","denied","c"
"998","female","admitted","a"
"999","female","denied","c"
"1000","male","admitted","a"
"1001","male","denied","a"
"1002","female","admitted","c"
"1003","male","denied","c"
"1004","female","admitted","c"
"1005","female","denied","c"
"1006","male","admitted","b"
"1007","female","denied","e"
"1008","male","denied","e"
"1009","male","admitted","c"
"1010","male","denied","f"
"1011","female","admitted","d"
"1012","male","denied","c"
"1013","female","denied","e"
"1014","female","denied","e"
"1015","female","denied","c"
"1016","female","denied","d"
"1017","male","denied","d"
"1018","male","admitted","b"
"1019","female","denied","d"
"1020","female","admitted","c"
"1021","female","denied","d"
"1022","female","denied","d"
"1023","male","admitted","b"
"1024","female","admitted","e"
"1025","female","denied","e"
"1026","female","admitted","d"
"1027","male","denied","c"
"1028","female","admitted","a"
"1029","female","denied","c"
"1030","male","denied","c"
"1031","female","admitted","c"
"1032","female","denied","d"
"1033","male","admitted","b"
"1034","male","denied","d"
"1035","male","denied","c"
"1036","male","admitted","d"
"1037","female","denied","f"
"1038","male","denied","b"
"1039","female","admitted","e"
"1040","male","admitted","a"
"1041","female","admitted","f"
"1042","female","admitted","d"
"1043","female","admitted","e"
"1044","male","denied","d"
"1045","male","denied","f"
"1046","male","admitted","a"
"1047","male","denied","d"
"1048","male","admitted","b"
"1049","female","denied","d"
"1050","male","denied","c"
"1051","female","admitted","a"
"1052","male","denied","d"
"1053","male","denied","e"
"1054","female","admitted","a"
"1055","female","denied","d"
"1056","male","denied","a"
"1057","male","denied","b"
"1058","female","denied","e"
"1059","male","denied","f"
"1060","male","denied","c"
"1061","female","denied","f"
"1062","male","denied","a"
"1063","female","admitted","a"
"1064","male","admitted","d"
"1065","male","denied","b"
"1066","male","admitted","a"
"1067","male","denied","b"
"1068","male","denied","c"
"1069","male","denied","d"
"1070","female","denied","f"
"1071","female","denied","f"
"1072","male","admitted","d"
"1073","male","admitted","b"
"1074","female","denied","c"
"1075","female","admitted","e"
"1076","male","admitted","b"
"1077","male","admitted","d"
"1078","male","admitted","a"
"1079","female","denied","c"
"1080","male","admitted","d"
"1081","male","denied","f"
"1082","male","denied","d"
"1083","female","denied","f"
"1084","male","denied","b"
"1085","male","denied","b"
"1086","male","denied","f"
"1087","female","denied","e"
"1088","male","denied","b"
"1089","male","denied","a"
"1090","female","denied","e"
"1091","female","denied","d"
"1092","female","admitted","f"
"1093","male","admitted","b"
"1094","female","denied","f"
"1095","female","denied","c"
"1096","female","denied","d"
"1097","female","denied","e"
"1098","female","denied","c"
"1099","female","admitted","f"
"1100","female","admitted","c"
"1101","male","denied","b"
"1102","male","denied","c"
"1103","male","admitted","a"
"1104","male","denied","f"
"1105","male","denied","b"
"1106","male","denied","b"
"1107","female","denied","c"
"1108","male","denied","b"
"1109","male","admitted","a"
"1110","male","admitted","a"
"1111","male","denied","b"
"1112","male","denied","a"
"1113","male","admitted","a"
"1114","male","admitted","a"
"1115","male","admitted","b"
"1116","male","admitted","d"
"1117","male","admitted","b"
"1118","male","denied","b"
"1119","male","denied","f"
"1120","male","denied","a"
"1121","male","admitted","a"
"1122","female","admitted","c"
"1123","male","admitted","b"
"1124","male","denied","e"
"1125","female","admitted","e"
"1126","male","denied","f"
"1127","female","denied","e"
"1128","female","denied","e"
"1129","male","denied","a"
"1130","male","admitted","b"
"1131","female","denied","d"
"1132","male","admitted","a"
"1133","female","admitted","e"
"1134","female","denied","d"
"1135","male","admitted","c"
"1136","female","denied","e"
"1137","male","admitted","a"
"1138","male","denied","e"
"1139","male","denied","f"
"1140","female","denied","c"
"1141","male","denied","c"
"1142","male","denied","f"
"1143","female","denied","c"
"1144","female","denied","d"
"1145","male","denied","c"
"1146","male","denied","f"
"1147","female","denied","d"
"1148","male","admitted","a"
"1149","male","admitted","c"
"1150","female","denied","d"
"1151","male","denied","f"
"1152","female","denied","e"
"1153","male","denied","f"
"1154","female","denied","f"
"1155","female","admitted","e"
"1156","male","admitted","a"
"1157","male","admitted","d"
"1158","female","admitted","c"
"1159","female","denied","c"
"1160","male","denied","f"
"1161","female","denied","d"
"1162","female","admitted","e"
"1163","male","admitted","b"
"1164","male","admitted","c"
"1165","male","denied","e"
"1166","male","denied","a"
"1167","female","denied","d"
"1168","male","admitted","c"
"1169","female","admitted","d"
"1170","male","denied","f"
"1171","male","denied","e"
"1172","male","denied","d"
"1173","female","denied","d"
"1174","male","denied","d"
"1175","male","denied","f"
"1176","female","denied","d"
"1177","female","denied","d"
"1178","male","admitted","f"
"1179","female","denied","e"
"1180","male","denied","d"
"1181","male","denied","a"
"1182","male","denied","f"
"1183","female","denied","e"
"1184","female","denied","d"
"1185","female","admitted","d"
"1186","male","admitted","d"
"1187","male","denied","f"
"1188","male","denied","a"
"1189","male","denied","e"
"1190","male","admitted","d"
"1191","female","admitted","c"
"1192","male","admitted","b"
"1193","female","denied","c"
"1194","female","denied","d"
"1195","male","denied","e"
"1196","female","denied","e"
"1197","female","admitted","e"
"1198","female","admitted","a"
"1199","male","admitted","a"
"1200","male","admitted","b"
"1201","female","admitted","c"
"1202","female","denied","f"
"1203","male","denied","d"
"1204","female","denied","c"
"1205","female","denied","f"
"1206","female","denied","e"
"1207","female","denied","e"
"1208","male","denied","f"
"1209","male","denied","d"
